source,target,relationship,description,strength
孙悟空,火德星君,求助关系,孙悟空请求火德星君火烧兕大王，他们之间存在求助关系。,6.0
孙悟空,水德星君,求助关系,孙悟空请求水德星君用水渰兕大王，他们之间存在求助关系。,6.0
金皘山,孙悟空,战场关系,金皘山是孙悟空与兕大王多次交手的地点，对孙悟空来说具有战场意义。,5.5
雷音寺,孙悟空,求助地点关系,雷音寺是孙悟空前往求助如来的地点，对他有特殊意义。,7.0
离恨天兜率宫太上老君处,孙悟空,行动指示关系,孙悟空根据如来的指示前往此处寻找兕大王的踪迹，具有行动指示关系。,6.5
行者,李老君,求助关系,行者寻找李老君帮助，对抗妖怪，这表明他们之间存在一种求助与被求助的关系。,7.5
行者,仙童,互动关系,行者在仙宫中与仙童有对话和互动，仙童还通报了李老君。,4.0
行者,老君,合作关系,行者和老君合作对抗妖怪，老君提供芭蕉扇帮助行者。,8.0
行者,唐僧,保护关系,行者帮助唐僧脱离妖怪的困扰，显示了他们之间的保护与被保护的关系。,9.0
行者,金皘山金皘洞,对抗关系,行者与金皘山金皘洞的妖怪对抗，这是一个明显的敌对关系。,8.5
行者,十八尊罗汉,合作/求助关系,行者和十八尊罗汉等众神合作对抗妖怪，体现了合作与求助的关系。,7.0
行者,北泼孽畜,敌对关系,行者和北泼孽畜之间是直接的战斗对抗关系，非常明显。,9.5
老君,青牛,主仆关系,老君拥有青牛，青牛是老君的坐骑，并且老君能够控制青牛，体现了主仆关系。,8.0
老君,芭蕉扇,拥有关系,老君拥有芭蕉扇，这是一个明显的拥有关系，因为老君用芭蕉扇帮助行者。,7.5
老君,兜率院,居住关系,兜率院是老君的居所，显示了他们之间的居住关系。,6.5
老君,离恨天,提升关系,老君在故事结尾处提到高升至离恨天，体现了他的地位提升。,5.5
大圣,三藏,师徒关系,文本中描述大圣劳苦万端救出三藏，并提及三藏多次呼唤大圣，表明他们之间存在紧密的师徒关系。,9.0
行者,三藏,师徒关系,行者指引三藏，并多次帮助三藏解决问题，如寻找热汤和药，明显看出他们之间有师徒关系。,9.0
八戒,三藏,师徒关系,八戒跟随三藏，并照顾三藏，如取水给三藏喝，表明他们之间存在师徒关系。,8.5
沙僧,三藏,师徒关系,沙僧在三藏腹痛时给予关心并提出建议，显示他们之间有师徒关系。,8.0
土地,三藏,神与人关系,土地神为三藏等人提供帮助，显示他们之间存在一种神对人的帮助关系。,7.5
西梁女国,子母河,地点与特征关系,子母河位于西梁女国，是该国的特有河流，与该国女性怀孕习俗相关。,8.0
子母河,迎阳馆驿,地点与功能关系,迎阳馆驿外的照胎泉与子母河水有直接关联，是女子照看是否有胎的地方。,8.5
迎阳馆驿,照胎泉,地点与地点关系,照胎泉位于迎阳馆驿外，是西梁女国特有的习俗地点，两者紧密相关。,9.0
太宗,魏征,君臣关系,太宗与魏征在便殿对弈，展示了他们之间的直接互动，同时他们的对话内容表明他们在文化和政治上有深层次的交流。,9.0
孙悟空,唐三藏,师徒关系,孙悟空是唐三藏的大徒弟，前来求取落胎泉水以救师父，明显表现出师徒之间的紧密关系。,9.0
真仙,孙悟空,敌对关系,真仙因孙悟空害其舍侄红孩儿而对其怀恨在心，两人之间的战斗表明了他们之间的敌对关系。,8.5
真仙,牛魔王,兄弟关系,真仙自称为牛魔王的兄弟，这表明他们之间有亲属关系。,7.0
红孩儿,真仙,叔侄关系,红孩儿是真仙的舍侄，这表明他们之间有亲属关系。,7.5
孙悟空,牛魔王,结拜兄弟关系,孙悟空曾与牛魔王结拜为兄弟，尽管现在关系紧张，但过去有紧密的联系。,6.0
孙悟空,观音菩萨,助力关系,孙悟空提到观音菩萨收红孩儿为善财童子，显示观音菩萨对孙悟空的助力。,5.5
沙僧,孙悟空,师兄弟关系,沙僧是孙悟空的师弟，孙悟空前来找沙僧帮忙，表明他们之间有师兄弟的关系。,7.0
孙悟空,聚仙庵,冲突地点关系,孙悟空在聚仙庵与真仙发生了激烈的战斗，显示了他们之间的冲突地点关系。,6.5
唐三藏,子母河,遭遇地点关系,唐三藏误饮子母河的成胎水，导致需要落胎泉水解救，表明唐三藏与子母河的遭遇地点关系。,5.0
老罗汉,老婆子,尊敬关系,老罗汉受到老婆子一家的尊敬，表现出他们之间的良好关系。,7
老罗汉,行者,师徒关系,行者是老罗汉的徒弟，他们之间存在师徒之间的尊重与互动。,8
老婆子,行者,善意关系,老婆子对行者表示了善意，提供食宿，并关心行者的健康。,6
行者,八戒,兄弟关系,行者与八戒是师兄弟，相互之间有戏谑和帮助的互动。,9
行者,真仙,敌对关系,行者和真仙在故事中进行了激烈的斗争，表现出明显的敌对关系。,10
八戒,沙僧,兄弟关系,八戒和沙僧是师兄弟，共同为解除痛苦而努力，显示出团结互助的关系。,8
沙僧,婆婆,感激关系,沙僧感谢婆婆的帮助，并接受她的建议，显示出感激之情。,7
真仙,道人,师徒关系,道人是真仙的徒弟，对其师父的能力表示信心，存在师徒之间的忠诚。,8
真仙,牛魔王,兄弟关系,真仙与牛魔王是兄弟，在故事中被提及，显示出家族联系。,6
大圣,师父,尊崇关系,大圣对师父表现出了高度的尊重和忠诚，显示出尊崇关系。,9
唐僧,八戒,师徒关系,唐僧是八戒的师傅，两者在文中多次互动，表现出师徒之间的密切关系。,9.0
唐僧,行者,师徒关系,行者为唐僧的大徒弟，两者一同经历西天取经的旅程，师徒关系密切。,9.0
唐僧,沙和尚,师徒关系,沙和尚是唐僧的徒弟，一同取经，关系紧密。,9.0
八戒,行者,同伴关系,八戒和行者都是唐僧的徒弟，一同旅行取经，相互之间有同伴关系。,8.0
八戒,沙和尚,同伴关系,八戒和沙和尚都是唐僧的徒弟，一同旅行取经，相互之间有同伴关系。,8.0
行者,沙和尚,同伴关系,行者和沙和尚都是唐僧的徒弟，一同旅行取经，相互之间有同伴关系。,8.0
唐僧,西梁国界,地理位置关系,唐僧在文中提到并到达了西梁国界，表现出空间上的关联。,7.0
唐僧,西梁女国,地理位置关系,唐僧师徒到达了西梁女国，与该国发生了多方面的互动。,8.0
唐僧,迎阳驿,地理位置关系,唐僧师徒在迎阳驿受到接待，与该地点直接相关。,7.0
唐僧,东土大唐,地理位置关系,唐僧来自东土大唐，这是他的出发地，与地理位置有直接关系。,6.0
唐僧,南赡中华,地理位置关系,南赡中华指唐僧的出身地，与其人物背景有关。,5.0
女王,唐僧,国王与使臣关系,女王希望唐僧留下成为国王，唐僧作为使臣，两者之间存在一定的关系。,7.5
太宗,魏征,君臣关系,太宗与魏征在便殿对弈，体现了君臣关系，且文本中提及太宗对魏征有较高的评价，因此他们之间存在紧密的君臣关系。,8.5
三藏,孙悟空,师徒关系,三藏是孙悟空的师傅，文中描述了他们之间的互动和策略讨论，表明他们关系密切。,9.0
三藏,猪八戒,师徒关系,猪八戒是三藏的徒弟，文中展现了他们之间的对话和互动，显示了师徒之间的联系。,8.0
三藏,沙僧,师徒关系,沙僧是三藏的徒弟，尽管文中直接描述较少，但作为师徒团体的一部分，他们之间存在关系。,7.5
我王,御弟,求婚关系,我王提出愿意以一国之富招赘御弟为夫，显示了请求与被请求的关系。,8.0
孙悟空,猪八戒,同伴关系,孙悟空和猪八戒都是三藏的徒弟，共同执行任务，文中展现了他们之间的互动和合作。,8.5
孙悟空,沙僧,同伴关系,孙悟空和沙僧都是三藏的徒弟，一同前往西天取经，具有同伴关系。,7.5
三藏,西梁国,所在地点,文中提到三藏在西梁国被求婚，表明了人物与地点的关系。,7.0
我王,西梁国,统治者与国家,我王是西梁国的统治者，展现了统治者和国家之间的直接联系。,9.0
孙悟空,西天,目标地点,孙悟空计划前往西天取经，这是他们的最终目的地。,8.0
妙龄聪俊风流子,西梁窈窕娘,相配关系,文本中描述了两人外貌和风度相匹配，故他们之间存在一种理想中的配偶关系。,7.0
女王,大唐御弟,爱慕关系,女王对大唐御弟表现出了明显的好感和爱慕，希望与之结为夫妻。,9.0
大唐御弟,三藏,同一人,大唐御弟是三藏的别称，他们指的是同一个人。,10.0
三藏,猪八戒,师徒关系,三藏是猪八戒的师傅，两者之间存在师徒关系。,8.5
三藏,孙悟空,师徒关系,三藏是孙悟空的师傅，两者之间存在师徒关系。,8.5
孙悟空,沙僧,同门关系,孙悟空与沙僧都是三藏的徒弟，他们之间是同门关系。,7.5
女王,文武官,君臣关系,女王是统治者，文武官是她的臣子，他们之间存在君臣关系。,8.0
女王,太师,君臣关系,太师是女王的臣子，提议举行宴会并建议大唐御弟即位，体现了君臣关系。,8.0
女王,东阁,活动地点,东阁是女王安排宴会的地点，与女王有直接关联。,6.5
猪八戒,五凤楼,活动地点,猪八戒在五凤楼前嚷着要吃喜酒，故与五凤楼存在直接关联。,7.0
女王,金銮宝殿,居所地点,金銮宝殿是女王的宫殿，她邀请大唐御弟共同前往，两者存在关联。,7.5
女王,麒麟殿,居所地点,麒麟殿是女王宫殿内的一处地点，与女王的居所有关。,6.5
女王,孔雀屏,居所装饰,孔雀屏是女王宫殿内的一处装饰，与女王的居所有关。,6.0
女王,玉堂金马,居所描述,玉堂金马形容了女王的宫殿豪华与壮丽，与女王的居所有关。,6.5
太宗,魏征,君臣关系,太宗与魏征在历史上是著名的君臣关系，此处虽未直接描写他们之间的互动，但太宗与魏征的名字出现在同一文段中，暗示了他们之间的联系。,7.5
女王,东阁,居所关联,女王在东阁之下设宴款待唐僧一行，说明东阁是女王的居所或行宫的一部分。,8.0
行者,唐僧,师徒关系,行者即孙悟空，是唐僧的大徒弟，文中多次描述行者与唐僧的互动，明确表明了他们的师徒关系。,9.0
八戒,唐僧,师徒关系,八戒是唐僧的二徒弟，文中描述了八戒对唐僧的听从和互动，显示了他们之间的师徒关系。,8.5
沙僧,唐僧,师徒关系,沙僧是唐僧的三徒弟，文中提及沙僧对唐僧的听从，体现了他们之间的师徒关系。,8.0
唐僧,东胜神洲傲来国,目的地关联,东胜神洲傲来国是孙悟空的故乡，唐僧作为孙悟空的师傅，提及此地点，显示他们与该地点的关联。,6.5
唐僧,西牛贺洲乌斯庄,目的地关联,西牛贺洲乌斯庄是猪八戒的故乡，唐僧提及此地点，显示他们与该地点的关联。,6.5
唐僧,流沙河,目的地关联,流沙河是沙僧的居所，唐僧提及此地点，显示他们与该地点的关联。,6.0
行者,毒敌山琵琶洞,探险关联,行者和他的兄弟们在探查毒敌山琵琶洞，显示了他们与该地点的探险关系。,7.0
孙大圣,行者,同一人,孙大圣是孙悟空的别称，行者也是指孙悟空，因此他们是同一人。,10
孙大圣,唐御弟,师徒关系,孙大圣是唐御弟的大徒弟，此处唐御弟即指唐僧，他们之间存在师徒关系。,9
孙大圣,三藏,师徒关系,三藏是唐僧的名字，孙大圣是其大徒弟，因此他们之间存在师徒关系。,9
孙大圣,女怪,敌对关系,文中孙大圣与女怪发生战斗，显然是敌对关系。,8
孙大圣,八戒,同门关系,孙大圣与八戒都是唐僧的徒弟，因此他们之间是同门关系。,7
孙大圣,沙僧,同门关系,孙大圣与沙僧都是唐僧的徒弟，因此他们之间是同门关系。,7
唐御弟,三藏,同一人,唐御弟是唐僧的别称，三藏即是唐僧，因此他们是同一人。,10
唐御弟,女怪,敌对关系,女怪试图伤害唐御弟，他们之间是敌对关系。,8
三藏,女怪,敌对关系,女怪与三藏发生冲突，试图伤害他，故存在敌对关系。,8
三藏,八戒,师徒关系,八戒是三藏的徒弟，他们之间存在师徒关系。,9
三藏,沙僧,师徒关系,沙僧是三藏的徒弟，他们之间存在师徒关系。,9
女怪,八戒,敌对关系,八戒参与了与女怪的战斗，他们之间存在敌对关系。,8
女怪,沙僧,敌对关系,沙僧虽然没有直接参与战斗，但他是唐僧的徒弟，与女怪存在敌对关系。,6
八戒,沙僧,同门关系,八戒与沙僧都是唐僧的徒弟，他们之间是同门关系。,7
行者,唐僧,师徒关系,行者是唐僧的大徒弟，保护唐僧西天取经，文中多次提到行者对唐僧的救助和保护，体现出紧密的师徒关系。,9.0
八戒,唐僧,师徒关系,八戒是唐僧的二徒弟，跟随唐僧取经，尽管有时懒惰且嘴馋，但文中提到他关心唐僧的安危，表现师徒之间的关心。,8.0
沙僧,唐僧,师徒关系,沙僧是唐僧的三徒弟，忠诚地守护唐僧，文中沙僧提议安歇并守护师父，显示师徒之间的忠诚。,8.5
妇人,唐僧,敌对关系,妇人是个妖怪，试图引诱唐僧并对他不利，唐僧坚守原则，两人之间是明显的敌对关系。,7.0
行者,玉帝,敌对关系,行者曾大闹天宫，与玉帝有冲突，被玉帝差遣大力鬼王等捉拿，显示他们之间的敌对关系。,7.5
行者,斗牛宫,事件关系,行者被玉帝差遣至斗牛宫受罚，这是行者与斗牛宫的事件联系，体现行者与此地的负面关系。,6.0
妇人,花亭子,居住关系,花亭子是妇人的居所的一部分，她在那里与唐僧对话，显示她与花亭子的居住关系。,5.5
八戒,西梁国,行动关系,八戒提出去西梁国讨膏药，显示他计划前往该地点，存在临时的行动关系。,4.5
行者,妖精,敌对关系,行者和妖精发生了直接的战斗，妖精曾困住师父，行者努力解救，因此他们之间存在明显的敌对关系。,9
师父,妖精,受害关系,师父被妖精困住并捆绑，明显是受害者，因此他们之间存在受害关系。,9
八戒,妖精,敌对关系,八戒与妖精直接战斗，并用钉钯攻击妖精，表明他们之间存在敌对关系。,8
菩萨,取经团队,帮助关系,菩萨以化身出现，并指示取经团队如何解救唐僧，显示出菩萨对取经团队的帮助和支持。,10
菩萨,妖精,制衡关系,菩萨指出妖精的弱点，并指引取经团队向昴日星官求助以制伏妖精，说明菩萨对妖精有一定的制衡作用。,8
昴日星官,妖精,制伏关系,菩萨指示取经团队向昴日星官求助以降伏妖精，表明昴日星官对妖精具有制伏的能力。,8
增长天王,行者,问候关系,增长天王在东天门遇见行者时进行了问候，显示了他们之间的友好关系。,5
行者,兄弟们,团队关系,行者与八戒、沙僧共同行动，并称呼他们为兄弟们，表明他们之间存在团队关系。,9
妖精,小的们,从属关系,妖精指挥小的们行动，表明小的们是妖精的下属，存在从属关系。,7
东天门,光明宫,空间关系,东天门内是光明宫所在，他们之间存在空间上的包含关系。,6
雷音寺,妖精,渊源关系,妖精曾在雷音寺听佛谈经，并与如来发生冲突，他们之间存在一定的渊源关系。,7
行者,星官,求助关系,行者在故事中请求昴日星官的帮助以救师父，表现出明显的求助关系。,8.0
四元帅,星官,同僚关系,四元帅提到昴日星官奉旨上观星台巡札，表明他们都是天庭的官员，存在同僚关系。,7.5
大圣,星官,求助与协助关系,大圣找到昴日星官请求帮助救师，星官答应并协助，体现了明显的求助与协助关系。,9.0
观音菩萨,星官,推荐关系,观音菩萨推荐昴日星官去降妖，显示其在神界的推荐和信任关系。,7.0
蝎子精,星官,敌对关系,昴日星官最终降服了蝎子精，二者之间存在明显的敌对关系。,8.5
八戒,星官,治疗关系,昴日星官治愈了八戒的伤，存在短暂的治疗关系。,6.5
唐僧,星官,救助关系,虽然唐僧没有直接与昴日星官互动，但昴日星官的介入帮助救出了唐僧，存在救助关系。,7.0
太宗,星官,上下级关系,太宗作为玉帝，对昴日星官有旨意，显示二者之间的上下级关系。,8.0
毒敌山,星官,事件发生地关系,昴日星官在毒敌山降妖，毒敌山是事件的发生地，与昴日星官存在事件发生地关系。,5.5
光明宫,星官,居所关系,昴日星官从光明宫出发，表明光明宫是其居所，存在居所关系。,6.0
观星台,星官,工作地点关系,昴日星官被提及在观星台巡札，表明观星台是其工作地点之一。,5.0
唐僧,八戒,师徒关系,八戒是唐僧的二徒弟，他们在取经途中共同经历各种困难，彼此之间有深厚的师徒情谊。,9.0
唐僧,观音菩萨,指导关系,观音菩萨是唐僧取经路上的重要指导者，多次给予他们帮助和指引。,9.5
唐僧,昴日星官,求助关系,昴日星官被请来帮助唐僧一行人收伏妖精，展现了他们之间的求助与被助的关系。,7.0
唐僧,悟空,师徒关系,悟空是唐僧的大徒弟，他们之间的关系非常紧密，悟空多次保护唐僧安全。,9.5
唐僧,沙和尚,师徒关系,沙和尚是唐僧的三徒弟，忠诚勤劳，为取经团队中的重要成员，与唐僧有师徒之谊。,8.5
悟空,玉帝,封官关系,玉帝曾经封悟空为弼马温，这是他们之间的官职授予关系。,7.0
悟空,大罗天御马监,工作关系,悟空五百年前在大罗天御马监养马，这是他与该地点的工作联系。,6.0
唐僧,高山,遭遇关系,在取经途中，唐僧多次在高山遭遇妖精，这是他们之间的障碍关系。,5.0
唐僧,虎心,遭遇关系,唐僧在虎心这个地方遇到了强盗，这是他们之间的冲突关系。,4.0
唐僧,东家,化缘关系,唐僧的衣服是通过在东家化缘得到的，体现了他的化缘生活。,3.0
唐僧,西家,化缘关系,唐僧的衣服也是通过在西家化缘得到的，体现了他的化缘生活。,3.0
唐僧,西方极乐城,追求关系,西方极乐城是唐僧取经的最终目的地，代表了他的信仰追求。,9.0
唐僧,端阳,节日关系,文中提到唐僧师徒在端阳时节行赏景，这是他们与节日的文化联系。,3.0
唐僧,山崖,旅途关系,在取经旅途中，唐僧需要在山崖等险峻之地穿行，这是他们与地形的关系。,4.0
唐僧,平阳之地,旅途关系,平阳之地是取经途中的一个相对安全的地点，体现了他们与地形的关系。,5.0
唐僧,汨罗江,文化关系,汨罗江与端午节有关，文中提到唐僧师徒与这一文化地点的联系。,3.0
行者,师父,师徒关系,行者是唐僧的大徒弟，两者之间存在师徒关系，这在全文中多次体现，如行者救师父、师父对行者的称呼等。,9.0
八戒,哥哥,兄弟关系,八戒称孙悟空为哥哥，表现了他们之间的兄弟般的关系，这在全文中多次提及。,8.5
三藏,太宗,君臣关系,唐僧奉唐太宗之命西天取经，体现了他们之间的君臣关系。,8.0
行者,那伙强人,敌对关系,孙悟空与拦路的强盗发生了冲突，并最终用武力解决了问题，这体现了他们之间的敌对关系。,7.5
那伙强人,长老,敌对关系,强盗拦路并要求买路钱，甚至将唐僧吊起来，这明显表现了他们之间的敌对关系。,7.0
八戒,沙僧,合作关系,猪八戒和沙僧一起拦住唐僧，告诉他走错了路，这显示了他们之间的合作。,6.5
行者,那贼,敌对关系,孙悟空与其中一个强盗直接交手，并且以智取胜，这体现了他们之间的敌对关系。,7.0
那贼头,众娄罗,首领与下属关系,贼头是强盗们的领导者，而众娄罗是他的手下，这体现了他们之间的首领与下属的关系。,6.0
长老,八戒,师徒关系,长老即唐僧是八戒的师傅，命令八戒去埋葬贼尸，体现了师徒之间的关系。,8.0
长老,行者,师徒关系,长老即唐僧与行者孙悟空有直接的师徒关系，在故事中多次指令和对话，显示了他们之间紧密的关系。,9.0
长老,沙僧,师徒关系,虽然文中没有直接描述长老与沙僧的互动，但作为唐僧的三个徒弟之一，沙僧与唐僧也存在师徒关系。,7.5
行者,大圣,同一人关系,行者即孙悟空，大圣是其尊称，两者指的是同一人，具有极高的相关性。,10.0
三藏,东土大唐,出发地关系,三藏即唐僧，从东土大唐出发去西天取经，具有明显的出发地关系。,8.5
三藏,西天,目的地关系,唐僧带领徒弟们前往西天取经，西天是他们的目的地，两者之间存在直接的目的地关系。,9.0
长老,村庄,借宿关系,长老即唐僧在故事中与徒弟们来到村庄借宿，与村庄存在临时住宿的关系。,7.0
老者,村庄,居住关系,老者是村庄的居民，接待了唐僧一行人，与村庄存在居住关系。,8.0
太宗,魏征,君臣关系,虽然文本中未描述具体的活动，但太宗与魏征为唐朝著名的君臣，具有历史上的明确关系。,8.0
老者,妈妈儿,夫妻关系,文中描述妈妈儿为老者的妻子，携转小儿、煮饭等活动表明了他们是夫妻关系。,9.0
长老,悟空,师徒关系,唐僧是悟空的师傅，取经路上的领袖与主要成员之间的关系。,9.5
长老,沙僧,师徒关系,沙僧是唐僧的徒弟，共同参与取经任务。,9.5
长老,八戒,师徒关系,八戒是唐僧的徒弟，共同参与取经任务。,9.5
老者,唐僧,恩人关系,老者帮助唐僧师徒逃离贼人追捕，对唐僧有救命之恩。,10.0
那厮,老者,父子关系,文中提到那厮是老者的儿子，他们之间是明确的父子关系。,9.0
草堂,后园,空间关系,草堂和后园都是老者家中的地点，文中提到唐僧师徒在两者之间的活动，表明它们之间的空间关系。,7.5
后园,草团瓢,空间关系,草团瓢位于后园中，是唐僧师徒借宿的地方，它们之间存在空间上的从属关系。,8.0
三藏,行者,师徒关系,三藏是行者的师父，文中多次提到三藏对行者的教导和责怪，显示了他们之间的师徒关系。,9
行者,猪八戒,同伴关系,猪八戒紧随行者之后，体现了他们是共同行动的伙伴。,8
行者,沙和尚,同伴关系,沙和尚在文中协助唐僧并帮助行者，表明他们是取经团队中的同伴。,8
行者,杨老儿的儿子,敌对关系,行者割下了杨老儿的儿子的首级，表现了直接的敌对行为。,10
行者,杨老儿,间接关系,行者的行为导致杨老儿的儿子被杀，间接影响了杨老儿。,7
孙大圣,花果山水帘洞,归属关系,花果山水帘洞是孙大圣的故乡，他曾在那里称王，有强烈的归属感。,9
孙大圣,天宫,避难关系,孙大圣考虑投奔天宫，但担心不能久住，显示了一种避难的想法。,6
孙大圣,海岛,避难关系,海岛是孙大圣考虑去的避难所之一。,5
孙大圣,龙宫,求助关系,孙大圣曾考虑去龙宫求告龙王，显示了一种求助的意向。,7
孙大圣,普陀崖,求助关系,孙大圣前往普陀崖向观音菩萨诉说，体现了求助的关系。,9
孙大圣,善财童子,旧怨关系,孙大圣与善财童子有过去的恩怨，文中提及了他们的争执。,7
孙大圣,观音菩萨,求助关系,孙大圣向观音菩萨求助，观音菩萨倾听他的诉说，表明了他们之间的求助与援助关系。,10
观音菩萨,善财童子,主从关系,善财童子是观音菩萨的随从，听从观音菩萨的指示。,9
观音菩萨,木叉,主从关系,木叉是观音菩萨的随从，帮助引导孙大圣。,9
菩萨,行者,指导关系,菩萨给予行者指导和帮助，例如提供看祥晦的能力，并告诉他唐僧将有难，需要他等待唐僧继续取经之路。,8.0
行者,唐僧,师徒关系,行者是唐僧的大徒弟，对其忠心耿耿，尽管被责备仍然愿意为唐僧服务，并去化斋取水。,9.0
八戒,草舍人家,求助关系,八戒在山南坡下找到草舍人家化斋，得到剩饭锅巴，体现了求助与施助的关系。,7.5
沙僧,唐僧,师徒关系,沙僧是唐僧的三徒弟，他忠诚于师父，帮助师父并在困难时刻给予支持，如扶持唐僧并寻找水。,8.5
唐僧,东土,出发地关系,唐僧是从东土出发去西天取经的僧人，东土是他取经的起点。,7.0
唐僧,西天,目的地关系,唐僧师徒的目的是前往西天取得真经，西天是他们取经旅程的终点。,8.0
唐僧,天竺国大雷音,任务目标关系,唐僧师徒的任务是前往天竺国大雷音拜佛求经，这是他们的终极目标。,8.5
八戒,沙僧,师兄弟关系,八戒和沙僧都是唐僧的徒弟，一起执行取经任务，彼此之间有合作和相互理解的关系。,7.5
八戒,师父,师徒关系,八戒是唐僧的徒弟，对师父有忠诚之心，虽然有时会犯错误，但总体上维持着师徒关系。,8.0
沙僧,师父,师徒关系,沙僧是唐僧的徒弟，对师父非常忠诚，遵从师父的吩咐，是师父的得力助手。,8.5
沙僧,长老,师徒关系,长老即唐僧，对沙僧进行指导吩咐，体现了师徒之间的指导与遵从关系。,8.0
孙行者,沙僧,师兄弟关系,孙行者和沙僧都是唐僧的徒弟，尽管两者性格迥异，但在取经任务中有共同的目标和合作。,6.5
孙行者,花果山,出生地关系,花果山是孙行者的出生地，他与其有着天然的归属关系。,9.0
孙行者,水帘洞,居所关系,水帘洞是孙行者的居所，显示了他与这个地方的密切联系。,9.0
沙僧,东胜神洲,任务相关关系,沙僧前往东胜神洲的花果山寻回行李，显示了他与这个地方的任务相关性。,5.5
沙僧,南海菩萨处,求助关系,如果孙行者不给行李，沙僧需要去南海菩萨处求助，表现了沙僧与南海菩萨处的求助关系。,4.5
师父,西方天竺国娑婆灵山大雷音寺,任务目标关系,师父的任务是前往西方天竺国娑婆灵山大雷音寺取经，这是他最终的目的地。,9.5
行者,沙僧,师兄弟关系,行者与沙僧都是唐僧的徒弟，共同保护唐僧西行取经。在故事中，虽然行者曾变化欺骗沙僧，但沙僧最终识破并寻求菩萨帮助，显示了他们之间深厚的师兄弟情谊。,7.5
行者,猴精,敌对关系,行者发现猴精假扮沙僧，并最终将其击败，表明二者之间存在明显的敌对关系。,9.0
沙僧,猴精,敌对关系,沙僧识破了猴精的伪装，并将其打死，体现出二者之间的敌对关系。,8.5
沙僧,菩萨,求助关系,沙僧在遇到困难时，前往南海寻找菩萨的帮助，显示了他们之间有求助与被求助的关系。,8.0
行者,菩萨,师徒关系,菩萨是行者的师傅之一，指导他修行，并在故事中多次帮助行者及其师兄弟们。,8.0
唐僧,沙僧,师徒关系,沙僧是唐僧的徒弟，忠诚地跟随师傅西行取经，体现了紧密的师徒关系。,8.5
唐僧,行者,师徒关系,行者是唐僧的大徒弟，虽然有时与师傅发生争执，但始终忠诚地保护唐僧取经。,8.0
行者,贤弟,师兄弟关系,行者和猪八戒都是唐僧的徒弟，共同完成任务，虽然性格不同，但相互协作。,7.0
行者,水帘洞,居所关系,水帘洞是行者的居所，他在此地教导猴子猴孙，并与沙僧发生了冲突。,7.0
沙僧,东海,出发地关系,沙僧离开东海前往南海寻求菩萨帮助，东海是其行程的起点。,6.0
菩萨,落伽山,居所关系,落伽山是菩萨的居所，她在那里修行并帮助唐僧师徒。,8.0
菩萨,木叉,指挥关系,菩萨唤木叉与善财上前，说明菩萨对木叉和善财有指挥权，他们之间是上下级的关系。,7.5
菩萨,善财,指挥关系,菩萨吩咐善财，表明善财听从菩萨的指示，存在指挥与被指挥的关系。,7.5
菩萨,孙悟空,辨识关系,菩萨通过念咒帮助辨识真假孙悟空，显示了菩萨与孙悟空之间的互动关系。,8.0
孙悟空,玉帝,君臣关系,孙悟空曾官拜弼马温，与玉帝有直接的上下级关系，且在此场景中向玉帝奏报。,8.5
孙悟空,广目天王,对抗关系,孙悟空与广目天王在南天门有对抗行为，存在临时的对立关系。,6.0
孙悟空,沙僧,师兄弟关系,孙悟空与沙僧是同门师兄弟，共同保护唐僧西天取经，有紧密的合作关系。,9.0
孙悟空,唐僧,师徒关系,孙悟空是唐僧的大徒弟，有直接的师徒关系，故事中多次相互作用。,9.5
孙悟空,八戒,师兄弟关系,孙悟空与八戒是同门师兄弟，共同保护唐僧西天取经，有合作也有摩擦。,8.0
孙悟空,东胜神洲,出生地关系,东胜神洲是孙悟空的出生地，与其有天然的归属关系。,7.0
孙悟空,花果山,居所关系,花果山是孙悟空的居所，与其有直接的居住关系。,9.0
孙悟空,水帘洞,居所关系,水帘洞是孙悟空的居所，与其有直接的居住关系。,8.5
沙僧,花果山,访问关系,沙僧到花果山寻讨行李，与该地点有访问和行动的关系。,6.5
沙僧,南海普陀山,访问关系,沙僧到南海普陀山拜见观音菩萨，与该地点有访问和行动的关系。,7.0
唐僧,阎王前,行动目标关系,唐僧的徒弟孙悟空提到要打到阎王前折辨真假，表明唐僧与阎王前有目标上的关系。,5.5
八戒,水帘洞,访问关系,八戒询问沙僧在水帘洞的情况，显示八戒对水帘洞有关注和了解的关系。,5.0
我,洞里,访问地点,我前年到洞里去，这是我与洞里的直接联系。,7
他,洞里,居住地,他被描述为在洞里居住，洞是他的居所。,8
三藏,西天,目的地,三藏的目标是前往西天取经，这是他的最终目的地。,9
八戒,花果山,行动地点,八戒前往花果山寻取行李，这是他的行动地点。,7
孙悟空,背阴山,战斗地点,孙悟空在背阴山上与怪物打斗，这是他的战斗地点。,8
孙悟空,森罗殿,求助地点,孙悟空到森罗殿求助，希望阎王帮他查看生死簿。,8
孙悟空,幽冥,求助地点,孙悟空在幽冥求助，寻找解决问题的方法。,8
秦广王,森罗殿,工作地点,秦广王在森罗殿工作，是十殿阎王之一。,9
地藏王,幽冥,掌管领域,地藏王掌管幽冥，这是他的领域。,10
谛听,地藏王,从属关系,谛听是地藏王座下的神兽，有从属关系。,9
如来,大西天灵鹫仙山雷音宝刹,居住地,如来居住在大西天灵鹫仙山雷音宝刹，这是他的居所。,10
观音,南海,居住地,观音住在南海，这是她的居所。,10
